code	display_name	date	weight	sw1_code	sw1_name
000001.XSHE	平安银行	2020-08-14	4.589	801780	银行I
000002.XSHE	万科A	2020-08-14	9.849	801180	房地产I
000027.XSHE	深圳能源	2020-08-14	0.442	801160	公用事业I
000039.XSHE	中集集团	2020-08-14	0.819	801890	机械设备I
000046.XSHE	泛海控股	2020-08-14	0.368	801180	房地产I
000063.XSHE	中兴通讯	2020-08-14	1.211	801770	通信I
000069.XSHE	华侨城A	2020-08-14	2.083	801180	房地产I
000100.XSHE	TCL科技	2020-08-14	3.234	801080	电子I
000157.XSHE	中联重科	2020-08-14	1.474	801890	机械设备I
000166.XSHE	申万宏源	2020-08-14	1.42	801790	非银金融I
000333.XSHE	美的集团	2020-08-14	7.71	801110	家用电器I
000338.XSHE	潍柴动力	2020-08-14	3.346	801880	汽车I
000402.XSHE	金融街	2020-08-14	0.722	801180	房地产I
000415.XSHE	渤海租赁	2020-08-14	0.746	801790	非银金融I
000425.XSHE	徐工机械	2020-08-14	0.725	801890	机械设备I
000538.XSHE	云南白药	2020-08-14	0.906	801150	医药生物I
000568.XSHE	泸州老窖	2020-08-14	1.035	801120	食品饮料I
000625.XSHE	长安汽车	2020-08-14	1.349	801880	汽车I
000630.XSHE	铜陵有色	2020-08-14	1.232	801050	有色金属I
000651.XSHE	格力电器	2020-08-14	7.868	801110	家用电器I
000656.XSHE	金科股份	2020-08-14	0.77	801180	房地产I
000671.XSHE	阳光城	2020-08-14	0.547	801180	房地产I
000703.XSHE	恒逸石化	2020-08-14	0.771	801030	化工I
000708.XSHE	中信特钢	2020-08-14	0.107	801040	钢铁I
000709.XSHE	河钢股份	2020-08-14	1.349	801040	钢铁I
000725.XSHE	京东方A	2020-08-14	3.18	801080	电子I
000776.XSHE	广发证券	2020-08-14	1.895	801790	非银金融I
000778.XSHE	新兴铸管	2020-08-14	0.819	801040	钢铁I
000783.XSHE	长江证券	2020-08-14	1.103	801790	非银金融I
000825.XSHE	太钢不锈	2020-08-14	0.814	801040	钢铁I
000858.XSHE	五粮液	2020-08-14	3.532	801120	食品饮料I
000876.XSHE	新希望	2020-08-14	1.226	801010	农林牧渔I
000895.XSHE	双汇发展	2020-08-14	1.803	801120	食品饮料I
000898.XSHE	鞍钢股份	2020-08-14	0.728	801040	钢铁I
000932.XSHE	华菱钢铁	2020-08-14	0.632	801040	钢铁I
000938.XSHE	紫光股份	2020-08-14	0.582	801750	计算机I
000961.XSHE	中南建设	2020-08-14	0.608	801180	房地产I
000963.XSHE	华东医药	2020-08-14	0.669	801150	医药生物I
000983.XSHE	西山煤电	2020-08-14	0.605	801020	采掘I
001979.XSHE	招商蛇口	2020-08-14	2.461	801180	房地产I
002024.XSHE	苏宁易购	2020-08-14	2.09	801200	商业贸易I
002027.XSHE	分众传媒	2020-08-14	1.325	801760	传媒I
002092.XSHE	中泰化学	2020-08-14	1.146	801030	化工I
002110.XSHE	三钢闽光	2020-08-14	0.882	801040	钢铁I
002142.XSHE	宁波银行	2020-08-14	1.932	801780	银行I
002146.XSHE	荣盛发展	2020-08-14	1.088	801180	房地产I
002202.XSHE	金风科技	2020-08-14	1.416	801730	电气设备I
002304.XSHE	洋河股份	2020-08-14	1.749	801120	食品饮料I
002352.XSHE	顺丰控股	2020-08-14	0.974	801170	交通运输I
002415.XSHE	海康威视	2020-08-14	2.027	801080	电子I
002475.XSHE	立讯精密	2020-08-14	0.904	801080	电子I
002493.XSHE	荣盛石化	2020-08-14	0.61	801030	化工I
002594.XSHE	比亚迪	2020-08-14	1.464	801880	汽车I
002601.XSHE	龙蟒佰利	2020-08-14	0.914	801030	化工I
002736.XSHE	国信证券	2020-08-14	1.142	801790	非银金融I
002938.XSHE	鹏鼎控股	2020-08-14	0.11	801080	电子I
003816.XSHE	中国广核	2020-08-14	0.399	801160	公用事业I
300433.XSHE	蓝思科技	2020-08-14	0.526	801080	电子I
300498.XSHE	温氏股份	2020-08-14	3.068	801010	农林牧渔I
300750.XSHE	宁德时代	2020-08-14	0.906	801730	电气设备I
